"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"SEX AND AGE","","","",""
"    Total population","328,239,523","*****","328,239,523","(X)"
"        Male","161,588,973","±34,808","49.2%","±0.1"
"        Female","166,650,550","±34,808","50.8%","±0.1"
"        Sex ratio (males per 100 females)","97.0","±0.1","(X)","(X)"
"        Under 5 years","19,404,835","±22,314","5.9%","±0.1"
"        5 to 9 years","19,690,437","±69,224","6.0%","±0.1"
"        10 to 14 years","21,423,479","±69,779","6.5%","±0.1"
"        15 to 19 years","21,353,524","±36,116","6.5%","±0.1"
"        20 to 24 years","21,468,680","±34,195","6.5%","±0.1"
"        25 to 34 years","45,578,475","±44,197","13.9%","±0.1"
"        35 to 44 years","41,914,845","±33,511","12.8%","±0.1"
"        45 to 54 years","40,863,107","±36,068","12.4%","±0.1"
"        55 to 59 years","21,484,060","±58,829","6.5%","±0.1"
"        60 to 64 years","20,984,053","±58,643","6.4%","±0.1"
"        65 to 74 years","31,575,561","±23,797","9.6%","±0.1"
"        75 to 84 years","16,140,238","±33,866","4.9%","±0.1"
"        85 years and over","6,358,229","±34,321","1.9%","±0.1"
"        Median age (years)","38.5","±0.1","(X)","(X)"
"        Under 18 years","72,967,785","±33,143","22.2%","±0.1"
"        16 years and over","263,534,161","±52,161","80.3%","±0.1"
"        18 years and over","255,271,738","±33,143","77.8%","±0.1"
"        21 years and over","241,886,206","±83,337","73.7%","±0.1"
"        62 years and over","66,395,660","±61,054","20.2%","±0.1"
"        65 years and over","54,074,028","±24,915","16.5%","±0.1"
"        18 years and over","255,271,738","±33,143","255,271,738","(X)"
"            Male","124,267,346","±30,268","48.7%","±0.1"
"            Female","131,004,392","±22,770","51.3%","±0.1"
"            Sex ratio (males per 100 females)","94.9","±0.1","(X)","(X)"
"        65 years and over","54,074,028","±24,915","54,074,028","(X)"
"            Male","24,044,281","±16,352","44.5%","±0.1"
"            Female","30,029,747","±17,170","55.5%","±0.1"
"            Sex ratio (males per 100 females)","80.1","±0.1","(X)","(X)"
"RACE","","","",""
"    Total population","328,239,523","*****","328,239,523","(X)"
"        One race","316,930,628","±119,592","96.6%","±0.1"
"        Two or more races","11,308,895","±119,592","3.4%","±0.1"
"        One race","316,930,628","±119,592","96.6%","±0.1"
"            White","236,475,401","±99,212","72.0%","±0.1"
"            Black or African American","41,989,671","±77,381","12.8%","±0.1"
"            American Indian and Alaska Native","2,847,336","±33,671","0.9%","±0.1"
"                Cherokee tribal grouping","289,234","±11,121","0.1%","±0.1"
"                Chippewa tribal grouping","126,987","±6,163","0.0%","±0.1"
"                Navajo tribal grouping","340,669","±11,774","0.1%","±0.1"
"                Sioux tribal grouping","119,004","±7,195","0.0%","±0.1"
"            Asian","18,636,984","±39,562","5.7%","±0.1"
"                Asian Indian","4,240,466","±49,699","1.3%","±0.1"
"                Chinese","4,404,678","±46,036","1.3%","±0.1"
"                Filipino","2,983,596","±45,214","0.9%","±0.1"
"                Japanese","755,672","±17,639","0.2%","±0.1"
"                Korean","1,461,843","±29,473","0.4%","±0.1"
"                Vietnamese","1,873,707","±40,947","0.6%","±0.1"
"                Other Asian","2,917,022","±47,535","0.9%","±0.1"
"            Native Hawaiian and Other Pacific Islander","628,683","±17,795","0.2%","±0.1"
"                Native Hawaiian","198,734","±11,713","0.1%","±0.1"
"                Guamanian or Chamorro","78,323","±7,337","0.0%","±0.1"
"                Samoan","112,845","±10,641","0.0%","±0.1"
"                Other Pacific Islander","238,781","±14,144","0.1%","±0.1"
"            Some other race","16,352,553","±122,060","5.0%","±0.1"
"        Two or more races","11,308,895","±119,592","3.4%","±0.1"
"            White and Black or African American","3,276,186","±53,106","1.0%","±0.1"
"            White and American Indian and Alaska Native","1,845,910","±33,924","0.6%","±0.1"
"            White and Asian","2,502,591","±39,537","0.8%","±0.1"
"            Black or African American and American Indian and Alaska Native","298,099","±15,745","0.1%","±0.1"
"Race alone or in combination with one or more other races","","","",""
"    Total population","328,239,523","*****","328,239,523","(X)"
"        White","246,234,076","±146,982","75.0%","±0.1"
"        Black or African American","46,713,850","±58,311","14.2%","±0.1"
"        American Indian and Alaska Native","5,665,200","±47,563","1.7%","±0.1"
"        Asian","22,371,683","±39,187","6.8%","±0.1"
"        Native Hawaiian and Other Pacific Islander","1,438,818","±26,843","0.4%","±0.1"
"        Some other race","18,214,244","±121,410","5.5%","±0.1"
"HISPANIC OR LATINO AND RACE","","","",""
"    Total population","328,239,523","*****","328,239,523","(X)"
"        Hispanic or Latino (of any race)","60,481,746","±11,342","18.4%","±0.1"
"            Mexican","37,186,361","±109,308","11.3%","±0.1"
"            Puerto Rican","5,828,706","±60,501","1.8%","±0.1"
"            Cuban","2,381,565","±39,022","0.7%","±0.1"
"            Other Hispanic or Latino","15,085,114","±93,509","4.6%","±0.1"
"        Not Hispanic or Latino","267,757,777","±11,342","81.6%","±0.1"
"            White alone","196,789,401","±22,517","60.0%","±0.1"
"            Black or African American alone","40,596,040","±70,047","12.4%","±0.1"
"            American Indian and Alaska Native alone","2,236,348","±22,027","0.7%","±0.1"
"            Asian alone","18,427,914","±39,236","5.6%","±0.1"
"            Native Hawaiian and Other Pacific Islander alone","565,473","±15,316","0.2%","±0.1"
"            Some other race alone","839,270","±29,578","0.3%","±0.1"
"            Two or more races","8,303,331","±86,915","2.5%","±0.1"
"                Two races including Some other race","312,842","±12,007","0.1%","±0.1"
"                Two races excluding Some other race, and Three or more races","7,990,489","±86,600","2.4%","±0.1"
"Total housing units","139,686,209","±6,973","(X)","(X)"
"CITIZEN, VOTING AGE POPULATION","","","",""
"    Citizen, 18 and over population","235,418,734","±159,764","235,418,734","(X)"
"        Male","114,206,194","±98,225","48.5%","±0.1"
"        Female","121,212,540","±79,689","51.5%","±0.1"
