year,NY,Chicago,Seattle,LA,SanFran,All
1990,138.5,131.7,126.8,135.9,132.1,130.65
1991,144.8,137.0,134.1,141.4,137.9,136.2
1992,150.0,141.1,139.0,146.5,142.5,140.3
1993,154.5,145.4,142.9,150.3,146.3,144.5
1994,158.2,148.6,147.8,152.3,148.7,148.25
1995,162.2,153.3,152.3,154.6,151.6,152.35
1996,166.9,157.4,157.5,157.5,155.1,156.85
1997,170.8,161.7,163.0,160.0,160.4,160.55
1998,173.6,165.0,167.7,162.3,165.5,163
1999,177.0,168.4,172.8,166.1,172.5,166.6
2000,182.5,173.8,179.2,171.6,180.2,172.2
2001,187.1,178.3,185.7,177.3,189.9,177.05
2002,191.9,181.2,189.3,182.2,193.0,179.9
2003,197.8,184.5,192.3,187.0,196.4,183.95
2004,204.8,188.6,194.7,193.2,198.8,188.9
2005,212.7,194.3,200.2,201.8,202.7,195.3
2006,220.7,198.3,207.6,210.4,209.2,201.6
2007,226.940,204.818,215.656,217.338,216.048,207.3425
2008,235.782,212.536,224.719,225.008,222.767,215.303
2009,236.825,209.995,226.028,223.219,224.395,214.537
2010,240.864,212.870,226.693,225.894,227.469,218.0555
2011,247.718,218.684,232.765,231.928,233.390,224.939
2012,252.588,222.005,238.663,236.648,239.650,229.594
2013,256.833,224.545,241.563,239.207,245.023,232.957
2014,260.230,228.468,246.018,242.434,251.985,236.736
2015,260.558,227.792,249.364,244.632,258.572,237.017
2016,263.365,229.302,254.886,249.246,266.344,240.0075
2017,268.520,233.611,262.668,256.210,274.924,245.1195
2018,273.641,237.706,271.089,265.962,285.550,251.107
2019,278.164,241.181,277.984,274.114,295.004,255.6575
2020,282.920,243.873,282.693,278.567,300.084,258.811
2021,292.303,254.159,295.560,289.244,309.721,270.9695
