CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
10180,,,"Abilene, TX",Metropolitan Statistical Area,165252,165252,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060,,
10180,,48059,"Callahan County, TX",County or equivalent,13544,13545,13512,13511,13488,13502,13505,13589,13789,13968,13990,13943,,
10180,,48253,"Jones County, TX",County or equivalent,20202,20192,20238,20270,19870,20044,19850,19966,19971,19827,19866,20083,,
10180,,48441,"Taylor County, TX",County or equivalent,131506,131515,131835,132853,134084,133927,134987,136133,136257,136634,137294,138034,,
10420,,,"Akron, OH",Metropolitan Statistical Area,703200,703196,703031,703200,702109,703621,704908,704382,703524,703987,703855,703479,,
10420,,39133,"Portage County, OH",County or equivalent,161419,161424,161386,161875,161383,161695,162463,162594,162521,162473,162502,162466,,
10420,,39153,"Summit County, OH",County or equivalent,541781,541772,541645,541325,540726,541926,542445,541788,541003,541514,541353,541013,,
10500,,,"Albany, GA",Metropolitan Statistical Area,153857,154033,154145,154545,153976,152667,151949,150387,149137,148090,147840,146726,,
10500,,13095,"Dougherty County, GA",County or equivalent,94565,94564,94513,95063,94694,93411,92742,91513,90389,89457,89200,87956,,
10500,,13177,"Lee County, GA",County or equivalent,28298,28295,28414,28578,28708,29039,29122,29173,29184,29410,29751,29992,,
10500,,13273,"Terrell County, GA",County or equivalent,9315,9507,9526,9392,9225,9165,9079,9013,8861,8695,8587,8531,,
10500,,13321,"Worth County, GA",County or equivalent,21679,21667,21692,21512,21349,21052,21006,20688,20703,20528,20302,20247,,
10540,,,"Albany-Lebanon, OR",Metropolitan Statistical Area,116672,116681,116891,118164,118273,118405,119042,120236,122769,125035,127451,129749,,
10540,,41043,"Linn County, OR",County or equivalent,116672,116681,116891,118164,118273,118405,119042,120236,122769,125035,127451,129749,,
10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,870716,870713,871082,872778,874698,877065,878113,879085,879792,882158,882263,880381,,
10580,,36001,"Albany County, NY",County or equivalent,304204,304208,304086,304596,305723,306589,307151,307433,307597,307717,306585,305506,,
10580,,36083,"Rensselaer County, NY",County or equivalent,159429,159433,159340,159589,159437,159545,159666,159436,159294,159200,159283,158714,,
10580,,36091,"Saratoga County, NY",County or equivalent,219607,219598,220109,221111,222483,224087,224513,226078,227122,229276,230170,229863,,
10580,,36093,"Schenectady County, NY",County or equivalent,154727,154751,154861,154864,155016,154944,155016,154733,154475,154710,155079,155299,,
10580,,36095,"Schoharie County, NY",County or equivalent,32749,32723,32686,32618,32039,31900,31767,31405,31304,31255,31146,30999,,
10740,,,"Albuquerque, NM",Metropolitan Statistical Area,887077,887063,889558,898016,901939,904953,904538,906026,909237,912311,914947,918018,,
10740,,35001,"Bernalillo County, NM",County or equivalent,662564,662477,663923,670283,673615,676326,675957,676248,677683,678203,678034,679121,,
10740,,35043,"Sandoval County, NM",County or equivalent,131561,131621,132431,134326,135380,136311,137023,138521,140464,142689,145096,146748,,
10740,,35057,"Torrance County, NM",County or equivalent,16383,16380,16404,16447,16155,15825,15666,15596,15491,15535,15512,15461,,
10740,,35061,"Valencia County, NM",County or equivalent,76569,76585,76800,76960,76789,76491,75892,75661,75599,75884,76305,76688,,
10780,,,"Alexandria, LA",Metropolitan Statistical Area,153922,153918,154096,154402,154400,154623,154558,154082,154124,153549,152762,152037,,
10780,,22043,"Grant Parish, LA",County or equivalent,22309,22309,22336,22382,22388,22301,22356,22302,22279,22296,22436,22389,,
10780,,22079,"Rapides Parish, LA",County or equivalent,131613,131609,131760,132020,132012,132322,132202,131780,131845,131253,130326,129648,,
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,821173,821273,821923,824930,826144,825731,828470,830295,833163,837921,842626,844052,,
10900,,34041,"Warren County, NJ",County or equivalent,108692,108642,108576,108142,107563,106897,106981,106742,106059,105715,105528,105267,,
10900,,42025,"Carbon County, PA",County or equivalent,65249,65244,65248,65086,64800,64538,64255,63753,63499,63828,64175,64182,,
10900,,42077,"Lehigh County, PA",County or equivalent,349497,349675,350164,353436,354759,355341,357636,359710,362298,365577,368359,369318,,
10900,,42095,"Northampton County, PA",County or equivalent,297735,297712,297935,298266,299022,298955,299598,300090,301307,302801,304564,305285,,
11020,,,"Altoona, PA",Metropolitan Statistical Area,127089,127117,127045,126970,126544,125836,125274,124596,123708,123147,122503,121829,,
