year,area,cpi,coli,coli_cpi,population,fitness,dance_studio,studio_num,studio_emp,studio_wage,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,occ
1990,NY,138.5,216.7,0.8996778264912979,,,,,,,,,,,,,,,,,,,,,,all_jobs
1990,Chicago,131.7,116.9,0.5491614600460375,,,,,,,,,,,,,,,,,,,,,,all_jobs
1990,Seattle,126.8,121.4,0.5355260197712325,,,,,,,,,,,,,,,,,,,,,,all_jobs
1990,LA,135.9,136.4,0.6038230320415771,,,,,,,,,,,,,,,,,,,,,,all_jobs
1990,SanFran,132.1,164.0,0.7209773639484941,,,,,,,,,,,,,,,,,,,,,,all_jobs
1990,All,130.65,,,,,,,,,,,,,,,,,,,,,,,,all_jobs
1991,NY,144.8,216.7,0.8996778264912979,,,,,,,,,,,,,,,,,,,,,,all_jobs
1991,Chicago,137.0,116.9,0.5491614600460375,,,,,,,,,,,,,,,,,,,,,,all_jobs
1991,Seattle,134.1,121.4,0.5355260197712325,,,,,,,,,,,,,,,,,,,,,,all_jobs
1991,LA,141.4,136.4,0.6038230320415771,,,,,,,,,,,,,,,,,,,,,,all_jobs
1991,SanFran,137.9,164.0,0.7209773639484941,,,,,,,,,,,,,,,,,,,,,,all_jobs
1991,All,136.2,,,,,,,,,,,,,,,,,,,,,,,,all_jobs
1992,NY,150.0,216.7,0.8996778264912979,,,,,,,,,,,,,,,,,,,,,,all_jobs
1992,Chicago,141.1,116.9,0.5491614600460375,,,,,,,,,,,,,,,,,,,,,,all_jobs
1992,Seattle,139.0,121.4,0.5355260197712325,,,,,,,,,,,,,,,,,,,,,,all_jobs
1992,LA,146.5,136.4,0.6038230320415771,,,,,,,,,,,,,,,,,,,,,,all_jobs
1992,SanFran,142.5,164.0,0.7209773639484941,,,,,,,,,,,,,,,,,,,,,,all_jobs
1992,All,140.3,,,,,,,,,,,,,,,,,,,,,,,,all_jobs
1993,NY,154.5,216.7,0.8996778264912979,,,,,,,,,,,,,,,,,,,,,,all_jobs
1993,Chicago,145.4,116.9,0.5491614600460375,,,,,,,,,,,,,,,,,,,,,,all_jobs
1993,Seattle,142.9,121.4,0.5355260197712325,,,,,,,,,,,,,,,,,,,,,,all_jobs
1993,LA,150.3,136.4,0.6038230320415771,,,,,,,,,,,,,,,,,,,,,,all_jobs
1993,SanFran,146.3,164.0,0.7209773639484941,,,,,,,,,,,,,,,,,,,,,,all_jobs
1993,All,144.5,,,,,,,,,,,,,,,,,,,,,,,,all_jobs
1994,NY,158.2,216.7,0.8996778264912979,,,,,,,,,,,,,,,,,,,,,,all_jobs
1994,Chicago,148.6,116.9,0.5491614600460375,,,,,,,,,,,,,,,,,,,,,,all_jobs
1994,Seattle,147.8,121.4,0.5355260197712325,,,,,,,,,,,,,,,,,,,,,,all_jobs
1994,LA,152.3,136.4,0.6038230320415771,,,,,,,,,,,,,,,,,,,,,,all_jobs
1994,SanFran,148.7,164.0,0.7209773639484941,,,,,,,,,,,,,,,,,,,,,,all_jobs
1994,All,148.25,,,,,,,,,,,,,,,,,,,,,,,,all_jobs
1995,NY,162.2,216.7,0.8996778264912979,,,,,,,,,,,,,,,,,,,,,,all_jobs
1995,Chicago,153.3,116.9,0.5491614600460375,,,,,,,,,,,,,,,,,,,,,,all_jobs
1995,Seattle,152.3,121.4,0.5355260197712325,,,,,,,,,,,,,,,,,,,,,,all_jobs
1995,LA,154.6,136.4,0.6038230320415771,,,,,,,,,,,,,,,,,,,,,,all_jobs
1995,SanFran,151.6,164.0,0.7209773639484941,,,,,,,,,,,,,,,,,,,,,,all_jobs
1995,All,152.35,,,,,,,,,,,,,,,,,,,,,,,,all_jobs
1996,NY,166.9,216.7,0.8996778264912979,,,,,,,,,,,,,,,,,,,,,,all_jobs
1996,Chicago,157.4,116.9,0.5491614600460375,,,,,,,,,,,,,,,,,,,,,,all_jobs
1996,Seattle,157.5,121.4,0.5355260197712325,,,,,,,,,,,,,,,,,,,,,,all_jobs
1996,LA,157.5,136.4,0.6038230320415771,,,,,,,,,,,,,,,,,,,,,,all_jobs
1996,SanFran,155.1,164.0,0.7209773639484941,,,,,,,,,,,,,,,,,,,,,,all_jobs
1996,All,156.85,,,,,,,,,,,,,,,,,,,,,,,,all_jobs
1997,NY,170.8,216.7,0.8996778264912979,,,,,,,,,,,,,,,,,,,,,,all_jobs
1997,Chicago,161.7,116.9,0.5491614600460375,,,,,,,,,,,,,,,,,,,,,,all_jobs
1997,Seattle,163.0,121.4,0.5355260197712325,,,,,,,,,,,,,,,,,,,,,,all_jobs
1997,LA,160.0,136.4,0.6038230320415771,,,,,,,,,,,,,,,,,,,,,,all_jobs
1997,SanFran,160.4,164.0,0.7209773639484941,,,,,,,,,,,,,,,,,,,,,,all_jobs
1997,All,160.55,,,,,,,,,,,,,,,,,,,,,,,,all_jobs
1998,NY,173.6,216.7,0.8996778264912979,,10.797,,,,,,,,,,,,,,,,,,,,all_jobs
1998,Chicago,165.0,116.9,0.5491614600460375,,10.797,,,,,,,,,,,,,,,,,,,,all_jobs
1998,Seattle,167.7,121.4,0.5355260197712325,,10.797,,,,,,,,,,,,,,,,,,,,all_jobs
1998,LA,162.3,136.4,0.6038230320415771,,10.797,,,,,,,,,,,,,,,,,,,,all_jobs
1998,SanFran,165.5,164.0,0.7209773639484941,,10.797,,,,,,,,,,,,,,,,,,,,all_jobs
1998,All,163.0,,,275854000.0,10.797,,,,,,,,,,,,,,,,,,,,all_jobs
1999,NY,177.0,216.7,0.8996778264912979,,11.777,,,,,,,,,,,,,,,,,,,,all_jobs
1999,Chicago,168.4,116.9,0.5491614600460375,,11.777,,,,,,,,,,,,,,,,,,,,all_jobs
1999,Seattle,172.8,121.4,0.5355260197712325,,11.777,,,,,,,,,,,,,,,,,,,,all_jobs
1999,LA,166.1,136.4,0.6038230320415771,,11.777,,,,,,,,,,,,,,,,,,,,all_jobs
1999,SanFran,172.5,164.0,0.7209773639484941,,11.777,,,,,,,,,,,,,,,,,,,,all_jobs
1999,All,166.6,,,279040000.0,11.777,,,,,,,,,,,,,,,,,,,,all_jobs
2000,NY,182.5,216.7,0.8996778264912979,,12.543,,,,,,,,,,,,,,,,,,,,all_jobs
2000,Chicago,173.8,116.9,0.5491614600460375,,12.543,,,,,,,,,,,,,,,,,,,,all_jobs
