area,area_name,occ_code,occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,year,occ
All,U.S. all,00-0000,All Occupations,127567910,0.1,         17.41,         36210,           0.2,          7.04,          9.08,         13.53,         21.17,         31.97,         14640,         18880,         28140,         44040,         66500,2003,all_jobs
All,U.S. all,27-2031,Dancers,15390,10.7,         12.76,         26540,           3.4,          6.07,          7.01,          9.45,         16.11,         24.98,         12630,         14580,         19650,         33500,         51950,2003,dancer
All,U.S. all,27-2032,Choreographers,14810,5.2,         17.16,         35700,           3.0,          6.83,          9.58,         14.92,         22.08,         29.34,         14210,         19930,         31030,         45930,         61030,2003,choreo
All,U.S. all,39-9031,Fitness trainers and aerobics instructors,177790,2.4,         14.71,         30590,           1.3,          6.85,          8.16,         11.78,         18.75,         26.87,         14250,         16960,         24510,         39000,         55890,2003,fit_trainer
All,U.S. all,39-9032,Recreation workers,265640,1.8,         10.12,         21040,           0.5,          6.24,          7.24,          8.94,         11.73,         16.07,         12970,         15060,         18600,         24390,         33420,2003,rec_worker
All,U.S. all,00-0000,All Occupations,128127360,0.1,         17.80,         37020,           0.2,          7.16,          9.28,         13.83,         21.66,         32.94,         14880,         19300,         28770,         45060,         68510,2004,all_jobs
All,U.S. all,27-2031,Dancers,14880,5.9,         12.15,,           3.0,          5.87,          6.71,          8.54,         15.62,         21.59,,,,,,2004,dancer
All,U.S. all,27-2032,Choreographers,15360,4.5,         18.39,         38250,           2.6,          7.20,         10.35,         16.19,         23.53,         32.79,         14980,         21530,         33670,         48940,         68190,2004,choreo
All,U.S. all,39-9031,Fitness trainers and aerobics instructors,182280,1.9,         14.98,         31170,           1.3,          6.99,          8.35,         12.25,         19.24,         26.71,         14530,         17380,         25470,         40030,         55560,2004,fit_trainer
All,U.S. all,39-9032,Recreation workers,266520,1.4,         10.43,         21690,           0.5,          6.38,          7.52,          9.29,         12.20,         16.48,         13260,         15640,         19320,         25380,         34280,2004,rec_worker
All,U.S. all,00-0000,All Occupations,     130307840,       0.1,         18.21,         37870,           0.1,          7.26,          9.46,         14.15,         22.20,         33.74,         15110,         19680,         29430,         46180,         70180,2005,all_jobs
All,U.S. all,27-2031,Dancers,         16240,       6.2,         13.22,,           3.5,          6.16,          6.92,          8.92,         16.72,         24.40,,,,,,2005,dancer
All,U.S. all,27-2032,Choreographers,         16150,       5.9,         18.26,         37970,           3.2,          7.44,          9.97,         15.84,         23.11,         33.21,         15480,         20730,         32950,         48070,         69070,2005,choreo
All,U.S. all,39-9031,Fitness trainers and aerobics instructors,        189220,       1.6,         14.93,         31060,           0.9,          6.99,          8.46,         12.43,         19.36,         26.45,         14540,         17600,         25840,         40260,         55020,2005,fit_trainer
All,U.S. all,39-9032,Recreation workers,        264840,       1.3,         10.78,         22420,           0.5,          6.64,          7.77,          9.67,         12.66,         16.84,         13810,         16170,         20110,         26330,         35030,2005,rec_worker
LA,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,All Occupations,5516070,0.4,20.04,41680,0.7,7.84,9.57,15.23,25.11,38.49,16310,19910,31680,52230,80070,2005,all_jobs
LA,"Los Angeles-Long Beach-Santa Ana, CA",27-2031,Dancers,1560,32.9,8.19,,3.0,7.17,7.47,7.96,8.44,8.78,,,,,,2005,dancer
LA,"Los Angeles-Long Beach-Santa Ana, CA",27-2032,Choreographers,670,30.7,19.76,41110,10.9,8.29,14.58,19.42,24.43,31.02,17240,30330,40390,50820,64520,2005,choreo
LA,"Los Angeles-Long Beach-Santa Ana, CA",39-9031,Fitness trainers and aerobics instructors,8870,7.4,17.54,36490,3.6,7.63,8.75,17.01,23.41,30.46,15880,18190,35380,48690,63350,2005,fit_trainer
LA,"Los Angeles-Long Beach-Santa Ana, CA",39-9032,Recreation workers,12190,5.3,10.77,22410,1.2,7.58,8.46,10.00,12.11,15.19,15770,17610,20800,25200,31600,2005,rec_worker
SanFran,"San Francisco-Oakland-Fremont, CA",00-0000,All Occupations,1960840,0.6,24.10,50120,0.8,8.69,11.99,19.42,30.86,45.37,18070,24940,40400,64190,94360,2005,all_jobs
SanFran,"San Francisco-Oakland-Fremont, CA",27-2031,Dancers,,,12.42,,8.8,7.40,8.52,11.05,14.82,19.94,,,,,,2005,dancer
