year,fitness,dance_studio,studio_num,studio_emp,studio_wage
1998,10797,,,,
1999,11777,,,,
2000,12543,,,,
2001,13542,,,,
2002,14987,,,,
2003,16287,,,,
2004,17174,,,,
2005,18286,,,,
2006,19447,,,,
2007,21416,,,,
2008,22339,,,,
2009,21842,,,,
2010,22311,,,,
2011,23191,3.04,,,
2012,24051,3.22,47269,90668,902.6
2013,25803.0,3.28,48399,93420,902.9
2014,27001.0,3.42,52942,99696,950.4
2015,28838.0,3.59,55523,104321,1014.8
2016,31223.0,3.7,56412,107832,1079.8
2017,33042.0,3.87,58515,114075,1144.8
2018,33971.0,4.1,63363,120456,1178.7
2019,35889.0,4.2,65723,126288,1229.5
2020,24361.0,3.43,62808,112485,1076.8
2021,,3.72,66266,120081,1153.1
2022,,3.83,68393,123680,1187.6
